old\alpha, m^(-1);old\sigma_{alpha};\alpha, {m}^{-1};\sigma_{alpha};sqrt(f);\sigma_{sqrt(f)}
0,001539221;4,19543E-05;1,539220823;0,041954301;1;0,05
0,002025075;5,5932E-05;2,025074674;0,055932017;1,732050808;0,028867513
0,002355661;6,56618E-05;2,355660713;0,065661832;2,236067977;0,02236068
0,003033692;8,62024E-05;3,033691747;0,086202357;2,645751311;0,018898224
0,003381527;9,70594E-05;3,381526601;0,0970594;3;0,016666667
0,003735518;0,000108342;3,735518143;0,108341728;3,31662479;0,015075567
0,004095888;0,000120078;4,095888253;0,120077617;3,605551275;0,013867505
0,004462871;0,000132298;4,462871026;0,132297767;3,872983346;0,012909944
0,004836714;0,000145036;4,836713687;0,14503556;4,123105626;0,012126781
0,005026289;0,00015161;5,026288566;0,151609807;4,358898944;0,011470787
0,005217678;0,000158327;5,217677586;0,158327343;4,582575695;0,010910895
0,005606039;0,000172213;5,606039303;0,172212748;4,795831523;0,010425721
0,005803085;0,000179391;5,803085232;0,17939143;5;0,01
0,006203099;0,00019425;6,203098566;0,194249669;5,196152423;0,009622504
0,006611276;0,000209817;6,611275999;0,209817482;5,385164807;0,009284767
0,006611276;0,000209817;6,611275999;0,209817482;5,567764363;0,008980265
0,007027958;0,000226149;7,027957737;0,226149186;5,744562647;0,008703883
0,007453506;0,000243304;7,453505706;0,243304441;5,916079783;0,008451543
0,007888305;0,000261349;7,888305438;0,261348892;6,08276253;0,008219949
0,008332768;0,000280355;8,332768174;0,280354907;6,244997998;0,008006408
